Collection Date,Operator,Tred ID,1,2,3,4,5,6,7,note
7/16/25,,2372,2.01,1.99,1.96,,,,,
7/16/25,,1478,1.45,1.45,1.15,1.05,0.65,,,
7/16/25,,2006,2.17,2.47,1.99,1.98,,,,
7/16/25,,2010,3.42,2.43,3.29,3.19,,,,
7/16/25,,2007,2.55,2.7,1.85,1.7,2.5,,,
7/16/25,,2360,3.12,2.01,2.58,2.96,2.54,2.76,2.96,
7/16/25,,SALE_CC,3.84,3.81,3.84,,,,,
7/16/25,,2005,1.17,1.1,1.19,,,,,
7/16/25,,2012,1.26,1.26,1.7,,,,,
7/16/25,,2382,3.3,4,3.2,3.8,2.7,2.4,2.35,
7/16/25,,2004,1.32,1.33,1.41,,,,,
7/16/25,,ARCA_CC,3.66,3.7,4.17,3.48,4.31,4.35,4.46,
7/16/25,,2380,0.78,0.61,0.74,,,,,
7/16/25,,2378,1.46,1.8,1.49,,,,,
7/16/25,,2091,0.64,0.7,0.9,,,,,
7/16/25,,2085,1.7,1.69,1.69,,,,,
7/16/25,,2379,1.09,1.37,1.37,1.39,,,,
7/16/25,,2376,0.9,1.8,1.1,1,,,,
7/16/25,,2092,1.94,2.3,2.2,,,,,
7/16/25,,2089,1.54,1.78,1.8,,,,,
7/16/25,,2383,3,2.28,2.65,2.21,2.62,2.94,,
7/16/25,,2086,1.54,1.54,1.84,,,,,
7/16/25,,2087,1.47,1.5,1.51,2.14,,,,
7/16/25,,2090,2.13,2.4,2.59,,,,,
7/16/25,,2093,1.76,1.78,,,,,,
7/16/25,,2384,3.1,3.15,2.35,4.1,3.2,,,
7/16/25,,SALE_LL,1.4,1.76,2.69,1.34,1.46,,,
7/16/25,,2088,1.21,1.59,1.7,,,,,
7/16/25,,2009,1.33,1.34,1.66,2.45,,,,
7/16/25,,2028,2.7,3.3,3.46,,,,,
7/16/25,,2381,3,2.95,2.8,3.05,,,,
7/16/25,,2011,2.74,2.6,2.37,2.73,,,,
7/16/25,,2026,1.89,1.91,1.91,2.33,,,,
7/16/25,,2347,1.58,1.56,1.55,1.79,,,,
7/16/25,,2027,2.08,2.41,3.18,2.29,3.03,3.48,,
7/16/25,,2367,3.15,3.2,3,3.1,,,,
7/16/25,,2365,,,2.96,2.56,2.82,,,
7/16/25,,2024,2.82,2.85,2.75,3.05,,,,
7/16/25,,2345,1.19,1.21,1.16,1.2,1.4,,,
7/16/25,,2019,2.24,3.09,3.16,3.27,2.3,,,
7/16/25,,2371,2.4,2.35,2.4,,,,,
7/16/25,,2022,1.95,1.91,2.06,,,,,
7/16/25,,2375,1.96,1.96,2.16,,,,,
7/16/25,,2369,3.65,3.65,3.6,,,,,
7/16/25,,2014,1.37,1.89,1.9,1.86,1.91,2.06,,
7/16/25,,2370,1.85,1.9,1.8,,,,,
7/16/25,,2025,1.66,1.87,2.3,,,,,
7/16/25,,2372,2.7,2.8,1.32,2.9,2.85,,,
7/16/25,,2301,2.7,2.63,3.05,2.57,,,,
7/16/25,,2018,2.08,2.37,2.58,3.46,2.59,2.67,,
7/16/25,,2021,2.53,2.54,2.51,,,,,
7/16/25,,2377,1.05,1.2,1.2,1.25,,,,
7/16/25,,2023,1.43,2.09,2.41,2.96,2.03,2.75,,
7/16/25,,2354,1.31,1.64,1.22,1.3,1.7,,,
7/16/25,,2030,1.65,1.64,1.76,2.01,,,,
7/16/25,,2017,1.25,1.41,1.6,,,,,
7/16/25,,2331,1.75,2.55,2.6,2.6,,,,
7/16/25,,2029,1.96,1.98,2.04,2.2,2.16,2.3,,
7/16/25,,2352,1.3,1.6,1.52,1.6,,,,
7/16/25,,2343,2.7,3,3.3,3.14,3.05,,,
7/16/25,,2031,1.74,1.73,2.7,1.83,2.69,2.3,,
7/16/25,,2346,2.5,2.2,2.25,2.6,2.5,,,
7/16/25,,ARCA_LL,4.38,4.4,4.45,4.4,,,,
7/17/25,schuyler,68,1.65,1.74,1.6,,,,,
7/17/25,Sofia,2309,1.92,1.97,1.91,,,,,
7/17/25,schuyler,65,1.88,1.94,2.2,,,,,
7/17/25,schuyler,82,1.79,1.8,1.27,1.12,1.19,,,
7/17/25,Brooke,72,1.8,1.45,1.25,0.9,0.9,0.5,,
7/17/25,schuyler,109,1.48,1.34,1.54,,,,,
7/17/25,Sofia,2394,1.96,2,2.13,,,,,
7/17/25,schuyler,120,3.4,3.54,3.64,,,,,
7/17/25,Brooke,81,1.65,1.45,1.3,1,1.25,,,
7/17/25,schuyler,106,3.08,2.7,2.4,2.75,,,,
7/17/25,Sofia,2336,2,1.98,1.92,,,,,
7/17/25,Brooke,67,0.85,1.45,1.45,1.4,,,,
7/17/25,schuyler,122,2.56,2.78,2.99,2.17,2.1,,,
7/17/25,shane,105,2,2.5,2.9,2.9,2.9,3.1,,
7/17/25,Sofia,2393,2.01,1.98,2.03,,,,,
7/17/25,brooke,70,1.39,1.35,1.39,,,,,
7/17/25,schuyler,118,1.99,2.9,2.3,2.16,2.13,,,
7/17/25,shane,104,2.5,2.6,2.1,2.6,,,,
7/17/25,brooke,80,1.4,1.15,1.15,1.55,1.4,,,
7/17/25,Sofia,2332,2.3,2.38,2.4,,,,,
7/17/25,shane,127,1.4,1.5,1.1,1.6,,,,
7/17/25,schuyler,123,1.64,2.69,2.43,2.99,2.54,2.82,,
7/17/25,brooke,66,1.9,1.8,1.5,1.4,0.7,1.85,,
7/17/25,shane,131,1.6,1.9,1.3,1.6,,,,
7/17/25,shane,114,1.6,1.7,1.7,1.9,,,,
7/17/25,shane,115,1.8,2.1,1.8,1.9,,,,
7/17/25,schuyler,103,1.45,1.87,2.18,1.79,1.96,,,
7/17/25,sofia,2330,2.56,2.43,2.43,2.48,,,,
7/17/25,shane,132,1.3,1.6,1.3,1.9,1.4,1.4,,
7/17/25,brooke,121,1.2,1.4,1.2,1.4,1.25,,,
7/17/25,shane,134,1.2,1.5,1,1.2,0.7,1.1,,
7/17/25,schuyler,116,3.07,2.72,2.08,2.19,2.05,,,
7/17/25,brooke,136,3.5,3.5,3.65,,,,,
7/17/25,shane,101,1.6,1,1.3,1,1.19,,,
7/17/25,sofia,2361,2.17,2.09,2.11,,,,,
7/17/25,shane,100,1.5,1.6,1.6,1.7,,,,
7/17/25,schuyler,95,1.64,1.94,1.51,1.59,,,,
7/17/25,brooke,73,0.75,0.6,0.4,0.8,,,,wet leaf
7/17/25,sofia,2355,2,2.22,2.39,2.13,,,,
7/17/25,shane,125,0.6,0.9,0.7,0.96,0.7,0.97,,
7/17/25,shane,102,1.21,1.56,1.4,1.5,,,,
7/17/25,schuyler,76,0.96,1.09,1.25,1.33,1.19,,,
7/17/25,brooke,74,1.5,1.45,1.35,,,,,
7/17/25,shane,79,0.9,1.2,1.1,1.54,0.98,1.5,,
7/17/25,brooke,69,2.45,2,1.8,1.3,1.8,,,
7/17/25,shane,77,1.04,1.1,0.7,0.8,0.9,1.1,,
7/17/25,schuyler,78,0.96,1.13,1.04,1.21,,,,
7/17/25,sofia,2357,1.68,1.57,1.6,,,,,
7/17/25,shane,86,1,1.1,1,,,,,
7/17/25,sofia,2362,2.07,2.1,2.09,,,,,
7/17/25,shane ,2392,1.3,1.45,1.4,1.8,,,,
7/17/25,shane,2358,1.5,1.67,1.7,1.8,,,,
7/17/25,sofia,2363,2.45,2.5,2.47,,,,,
7/17/25,brooke,2390,1.1,1.15,1.18,,,,,
7/17/25,brooke,2359,1.3,1.35,1.15,1.35,,,,
7/17/25,sofia,116-1,2.92,2.83,2.89,,,,,
7/17/25,shane,2391,1.1,1.6,0.6,1.66,0.95,0.95,,
7/17/25,sofia,2334,2.43,2.37,2.37,,,,,