individual_id,plot_treatment_id,individual_treatment_id,genus,species_epithet,dbh,tree_height_m,springlai,springstdev
1478,No treatment,No treatment,Quercus,douglasii,64.3,NA,2.608603664,NA
2004,No treatment,No treatment,Quercus,douglasii,29.1,NA,4.190652686,NA
2005,No treatment,No treatment,Quercus,douglasii,37.7,NA,1.743187468,NA
2006,No treatment,No treatment,Quercus,douglasii,24.7,NA,3.643601618,NA
2007,No treatment,No treatment,Quercus,douglasii,79.7,NA,2.869366814,NA
2008,No treatment,No treatment,Quercus,douglasii,52.1,NA,2.106352433,NA
2009,No treatment,No treatment,Quercus,douglasii,48.8,NA,2.043523285,0.238363031
2010,No treatment,No treatment,Quercus,douglasii,70.2,NA,2.160710445,0.199198269
2011,No treatment,No treatment,Quercus,douglasii,63.7,NA,2.557769501,0.357824932
2012,No treatment,No treatment,Quercus,douglasii,52.6,NA,3.148490331,NA
2013,No treatment,No treatment,Quercus,douglasii,NA,NA,2.6193793420000002,NA
2014,No treatment,No treatment,Quercus,douglasii,NA,NA,NA,NA
2016,No treatment,No treatment,Quercus,douglasii,96.7,NA,NA,NA
2020,No treatment,No treatment,Quercus,douglasii,68.6,NA,2.591573931,0.081342651
2021,No treatment,No treatment,Quercus,douglasii,58.2,NA,3.65088249,0.154186513
2022,No treatment,No treatment,Quercus,agrifolia,66.6,NA,2.797551148,0.254980308
2023,No treatment,No treatment,Quercus,agrifolia,77,NA,3.120137641,0.120125179
2024,No treatment,No treatment,Quercus,douglasii,61.4,NA,2.530519016,0.60757623
2025,No treatment,No treatment,Quercus,douglasii,50,NA,2.289450681,0.303359228
2026,No treatment,No treatment,Quercus,douglasii,83.5,NA,2.552563678,0.255102855
2027,No treatment,No treatment,Quercus,douglasii,73.5,NA,2.668087544,0.369796086
2028,No treatment,No treatment,Quercus,douglasii,66.1,NA,NA,NA
2029,No treatment,No treatment,Quercus,agrifolia,111.6,NA,NA,NA
2030,No treatment,No treatment,Quercus,agrifolia,49.5,NA,NA,NA
2031,No treatment,No treatment,Quercus,douglasii,104.65,NA,NA,NA
2040,No treatment,No treatment,Quercus,douglasii,NA,NA,NA,NA
2041,No treatment,No treatment,Quercus,douglasii,NA,NA,NA,NA
2042,No treatment,No treatment,Quercus,douglasii,NA,NA,NA,NA
2043,No treatment,No treatment,Quercus,douglasii,NA,NA,NA,NA
2044,No treatment,No treatment,Quercus,douglasii,NA,NA,NA,NA
2045,No treatment,No treatment,Quercus,douglasii,NA,NA,NA,NA
2046,No treatment,No treatment,Quercus,douglasii,NA,NA,NA,NA
2047,No treatment,No treatment,Quercus,douglasii,NA,NA,NA,NA
2048,No treatment,No treatment,Quercus,douglasii,NA,NA,NA,NA
2049,No treatment,No treatment,Quercus,douglasii,NA,NA,NA,NA
2050,No treatment,No treatment,Quercus,douglasii,NA,NA,NA,NA
2051,No treatment,No treatment,Quercus,douglasii,NA,NA,NA,NA
2052,No treatment,No treatment,Quercus,douglasii,NA,NA,NA,NA
2053,No treatment,No treatment,Quercus,douglasii,NA,NA,NA,NA
2085,No treatment,No treatment,Quercus,douglasii,86.3,NA,2.493992446,NA
2086,No treatment,No treatment,Quercus,douglasii,62.4,NA,2.083968165,0.229986341
2087,No treatment,No treatment,Quercus,douglasii,73.2,NA,2.412799834,0.16101503
2088,No treatment,No treatment,Quercus,douglasii,67,NA,2.260303399,0.081141421
2089,No treatment,No treatment,Quercus,agrifolia,167,NA,3.808468858,0.201692111
2090,No treatment,No treatment,Quercus,douglasii,86.5,NA,2.449484374,0.500337597
2091,No treatment,No treatment,Quercus,agrifolia,120.1,NA,3.900265562,0.372729722
2092,No treatment,No treatment,Quercus,agrifolia,146,NA,2.558549825,0.341100291
2093,No treatment,No treatment,Quercus,agrifolia,99.7,NA,3.478755336,0.703976696
2301,No treatment,No treatment,Quercus,agrifolia,48.75,14.621,2.925588113,0.22400915
2305,No treatment,No treatment,Quercus,douglasii,34.8,14.07,1.478046565,0.181913119
2306,No treatment,No treatment,Quercus,douglasii,33.8,14.06,1.827649969,0.223079695
2308,No treatment,No treatment,Quercus,douglasii,25.8,6.62,NA,NA
2309,No treatment,No treatment,Quercus,douglasii,17.3,12.92,NA,NA
2313,No treatment,No treatment,Quercus,douglasii,31.5,10.6,1.133169627,0.104663603
2322,No treatment,No treatment,Quercus,agrifolia,25.5,8.614,3.755856571,NA
2330,No treatment,No treatment,Quercus,douglasii,12,NA,NA,NA
2331,No treatment,No treatment,Quercus,agrifolia,36,8.34,3.692702494,0.287037273
2332,No treatment,No treatment,Quercus,douglasii,85.5,12.609,0.849841803,0.080028109
2333,No treatment,No treatment,Quercus,douglasii,14.4,5.688,NA,NA
2334,No treatment,No treatment,Quercus,douglasii,11.8,7.331,2.595348806,0.082171202
2335,No treatment,No treatment,Quercus,douglasii,25.6,15.12,1.709692045,0.176046639
2336,No treatment,No treatment,Quercus,douglasii,11.8,7.331,2.043321202,0.198927449
2337,No treatment,No treatment,Quercus,douglasii,26.3,13.134,1.504707295,0.302780574
2338,No treatment,No treatment,Quercus,douglasii,34.6,12.905,1.496145123,0.209387483
2339,No treatment,No treatment,Quercus,douglasii,24.7,17.919,1.984207775,0.080530858
2340,No treatment,No treatment,Quercus,douglasii,32.3,10.32,1.848823128,0.209242422
2341,No treatment,No treatment,Quercus,douglasii,41.8,13.324,1.192081979,0.160979852
2342,No treatment,No treatment,Quercus,douglasii,22.9,10.56,1.24397405,0.234999872
2343,No treatment,No treatment,Quercus,douglasii,64.45,13.11,2.016345414,0.373325742
2344,No treatment,No treatment,Quercus,douglasii,52.5,8.54,2.539693387,0.379117382
2345,No treatment,No treatment,Quercus,agrifolia,58.2,18.24,NA,NA
2346,No treatment,No treatment,Quercus,douglasii,24.4,14.56,1.47571073,0.293512354
2347,No treatment,No treatment,Quercus,douglasii,33.349999999999994,12.47,NA,NA
2348,No treatment,No treatment,Quercus,douglasii,41.5,11.94,NA,NA
2349,No treatment,No treatment,Quercus,douglasii,29.9,11.64,1.46399535,0.376740445
2350,No treatment,No treatment,Quercus,douglasii,42.5,8.72,1.697464724,0.634230976
2351,No treatment,No treatment,Quercus,douglasii,26.4,11.93,1.846343346,0.206924891
2352,No treatment,No treatment,Quercus,agrifolia,53.8615,12.875,2.792253956,0.577890082
2353,No treatment,No treatment,Quercus,agrifolia,45.3,8.963,3.485693987,NA
2354,No treatment,No treatment,Quercus,agrifolia,79.65,12.466,2.665954713,0.369586867
2355,No treatment,No treatment,Quercus,douglasii,17.7,11.63,1.709799569,0.283602558
2356,No treatment,No treatment,Quercus,douglasii,26.2,13.899,0.988977156,0.307310156
2357,No treatment,No treatment,Quercus,douglasii,23.6,12.455,1.246739309,0.23066339
2358,No treatment,No treatment,Quercus,douglasii,26.5,9.528,1.195837641,0.365881266
2359,No treatment,No treatment,Quercus,douglasii,15.7,7.75,1.366182734,0.180567
2360,No treatment,No treatment,Quercus,douglasii,22.65,11.048,1.25246776,0.414776943
2361,No treatment,No treatment,Quercus,douglasii,31.759,6.579,1.106555063,0.107660517
2362,No treatment,No treatment,Quercus,douglasii,18,8.449,NA,NA
2363,No treatment,No treatment,Quercus,douglasii,23.8,9.366,NA,NA
2364,No treatment,No treatment,Quercus,douglasii,28.3,12.735,1.217323574,0.226942763
2365,No treatment,No treatment,Quercus,douglasii,42.099999999999994,8.118,1.688971394,0.303828703
2366,No treatment,No treatment,Quercus,douglasii,26.3,11.305,0.965204495,0.148829773
2367,No treatment,No treatment,Quercus,douglasii,28.65,12.349,1.643462338,0.254601915
2369,No treatment,No treatment,Quercus,douglasii,30.75,13.754,1.222314958,0.156369174
2370,No treatment,No treatment,Quercus,douglasii,46.9,NA,2.431848719,0.190177829
2371,No treatment,No treatment,Quercus,douglasii,99.35,NA,2.334072995,0.50415509
2372,No treatment,No treatment,Quercus,douglasii,49.05,NA,2.163687964,0.285691724
2373,No treatment,No treatment,Quercus,douglasii,46.8,NA,2.360634661,0.279440146
2374,No treatment,No treatment,Quercus,douglasii,36.2,NA,2.080684333,0.179029938
2375,No treatment,No treatment,Quercus,douglasii,46.8,NA,2.503378377,0.28877392
2376,No treatment,No treatment,Quercus,agrifolia,60.7,NA,3.826551961,0.080045587
2377,No treatment,No treatment,Quercus,agrifolia,68,NA,3.252579186,NA
2378,No treatment,No treatment,Quercus,douglasii,34.85,NA,1.905351675,0.119379086
2379,No treatment,No treatment,Quercus,douglasii,43.4,NA,3.752021792,0.106949214
2380,No treatment,No treatment,Quercus,agrifolia,78.25,NA,4.072270629,0.587218326
2381,No treatment,No treatment,Quercus,douglasii,51.95,NA,2.777818792,0.194392709
2382,No treatment,No treatment,Quercus,douglasii,59.85,NA,1.984153342,0.660763684
2383,No treatment,No treatment,Quercus,douglasii,44.5,NA,4.072778432,0.432001456
2384,No treatment,No treatment,Quercus,douglasii,55.1,NA,2.799672762,0.366113187
